                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0363,                0.66333,                 1.0908,                0.94622,                0.89951,                0.95642,                0.71589,                0.91885,                0.44494,                0.98334,               0.006535,               0.006535,               0.006535
                     37,                 1.0346,                0.66195,                 1.0886,                0.94775,                0.89942,                0.95685,                0.71652,                0.91806,                0.44345,                0.98299,               0.006436,               0.006436,               0.006436
                     38,                 1.0289,                0.65819,                 1.0874,                0.94754,                0.90041,                0.95719,                  0.717,                0.91719,                  0.442,                0.98261,               0.006337,               0.006337,               0.006337
                     39,                 1.0302,                0.65761,                 1.0865,                0.94717,                0.90132,                0.95759,                0.71753,                0.91637,                 0.4406,                0.98196,               0.006238,               0.006238,               0.006238
                     40,                 1.0304,                0.65741,                  1.087,                0.94714,                0.90212,                0.95789,                0.71804,                0.91555,                0.43923,                0.98162,               0.006139,               0.006139,               0.006139
                     41,                 1.0296,                0.65465,                 1.0864,                0.94845,                0.90209,                0.95824,                0.71867,                0.91478,                0.43759,                0.98114,                0.00604,                0.00604,                0.00604
                     42,                 1.0283,                0.65196,                 1.0838,                0.94906,                0.90222,                0.95861,                0.71925,                0.91391,                0.43644,                0.98057,               0.005941,               0.005941,               0.005941
                     43,                 1.0291,                0.65215,                 1.0841,                0.94847,                0.90324,                0.95882,                0.71977,                0.91312,                0.43513,                   0.98,               0.005842,               0.005842,               0.005842
                     44,                 1.0251,                0.65002,                 1.0838,                 0.9495,                0.90301,                0.95913,                0.72022,                0.91265,                 0.4338,                0.97958,               0.005743,               0.005743,               0.005743
                     45,                  1.024,                0.64838,                 1.0827,                0.95005,                0.90339,                 0.9594,                0.72083,                0.91196,                 0.4325,                0.97919,               0.005644,               0.005644,               0.005644
                     46,                 1.0255,                0.64661,                 1.0838,                0.95009,                0.90403,                0.95982,                0.72138,                 0.9112,                0.43137,                0.97887,               0.005545,               0.005545,               0.005545
                     47,                 1.0221,                0.64077,                 1.0813,                0.95066,                0.90431,                0.96018,                0.72174,                0.91047,                0.43025,                0.97852,               0.005446,               0.005446,               0.005446
                     48,                 1.0215,                0.64238,                 1.0816,                0.95084,                0.90448,                0.96029,                0.72225,                0.90976,                0.42927,                0.97818,               0.005347,               0.005347,               0.005347
                     49,                  1.017,                0.63741,                 1.0789,                0.95067,                0.90538,                0.96053,                0.72276,                0.90891,                0.42827,                0.97777,               0.005248,               0.005248,               0.005248
                     50,                 1.0198,                0.63747,                 1.0788,                0.95064,                0.90591,                0.96081,                0.72321,                0.90805,                0.42711,                0.97721,               0.005149,               0.005149,               0.005149
                     51,                  1.018,                0.63672,                 1.0772,                0.95126,                0.90592,                0.96109,                0.72377,                0.90723,                 0.4262,                0.97653,                0.00505,                0.00505,                0.00505
                     52,                 1.0154,                0.63445,                 1.0766,                0.95131,                0.90661,                0.96142,                 0.7243,                0.90636,                0.42526,                0.97582,               0.004951,               0.004951,               0.004951
                     53,                 1.0142,                0.63253,                 1.0765,                0.95184,                0.90685,                 0.9616,                0.72476,                0.90566,                0.42446,                0.97536,               0.004852,               0.004852,               0.004852
                     54,                 1.0132,                0.62969,                 1.0766,                0.95199,                0.90723,                0.96188,                0.72527,                 0.9048,                0.42355,                0.97489,               0.004753,               0.004753,               0.004753
                     55,                  1.011,                 0.6263,                 1.0749,                0.95217,                0.90751,                0.96218,                0.72572,                0.90421,                0.42257,                0.97449,               0.004654,               0.004654,               0.004654
                     56,                 1.0095,                0.62661,                 1.0746,                0.95205,                0.90823,                0.96236,                0.72627,                0.90337,                0.42158,                0.97401,               0.004555,               0.004555,               0.004555
                     57,                 1.0094,                 0.6243,                 1.0746,                0.95226,                 0.9085,                0.96256,                0.72667,                0.90273,                0.42066,                0.97365,               0.004456,               0.004456,               0.004456
                     58,                 1.0079,                0.62278,                 1.0735,                0.95275,                0.90887,                0.96275,                0.72729,                0.90201,                0.41959,                0.97318,               0.004357,               0.004357,               0.004357
                     59,                  1.004,                0.61713,                  1.072,                 0.9532,                0.90934,                0.96303,                0.72784,                0.90121,                0.41871,                0.97275,               0.004258,               0.004258,               0.004258
                     60,                 1.0036,                0.61632,                 1.0705,                0.95277,                0.91084,                0.96328,                0.72832,                0.90039,                0.41792,                0.97225,               0.004159,               0.004159,               0.004159
                     61,                 1.0041,                0.61419,                 1.0708,                 0.9527,                0.91135,                0.96361,                0.72874,                0.89961,                0.41686,                0.97176,                0.00406,                0.00406,                0.00406
                     62,                 1.0032,                0.61357,                 1.0704,                0.95369,                0.91132,                0.96387,                0.72919,                 0.8989,                0.41612,                0.97121,               0.003961,               0.003961,               0.003961
                     63,                 1.0007,                0.61256,                 1.0705,                0.95373,                0.91131,                0.96396,                0.72961,                0.89801,                0.41539,                0.97068,               0.003862,               0.003862,               0.003862
                     64,                 1.0005,                0.61004,                 1.0688,                0.95355,                0.91212,                0.96422,                0.73006,                0.89716,                0.41458,                0.97018,               0.003763,               0.003763,               0.003763
                     65,                0.99556,                0.60718,                 1.0672,                0.95356,                0.91257,                0.96448,                0.73038,                0.89652,                0.41388,                 0.9698,               0.003664,               0.003664,               0.003664
                     66,                0.99614,                 0.6054,                 1.0669,                0.95398,                0.91263,                0.96458,                0.73069,                0.89574,                0.41314,                 0.9694,               0.003565,               0.003565,               0.003565
                     67,                0.99362,                0.60299,                 1.0665,                0.95439,                0.91322,                 0.9649,                0.73118,                0.89498,                0.41225,                  0.969,               0.003466,               0.003466,               0.003466
                     68,                  0.991,                0.60109,                 1.0662,                0.95443,                0.91388,                0.96518,                0.73174,                0.89421,                0.41126,                0.96867,               0.003367,               0.003367,               0.003367
                     69,                0.99218,                0.59901,                 1.0627,                0.95479,                0.91394,                0.96544,                0.73219,                0.89333,                0.41028,                0.96803,               0.003268,               0.003268,               0.003268
